epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.0265,1.21512,0.75444,1,0.74534,0.000408333,0.000408333,0.000408333
2,50.3366,0.62362,0.92899,1,0.24319,0.000784162,0.000784162,0.000784162
3,74.3565,0.36579,0.93491,1,0.19495,0.00111874,0.00111874,0.00111874
4,97.5738,0.36059,0.95562,1,0.16638,0.00106437,0.00106437,0.00106437
5,121.072,0.29219,0.93787,1,0.18772,0.0010025,0.0010025,0.0010025
6,145.06,0.26821,0.95562,1,0.16167,0.000940625,0.000940625,0.000940625
7,168.332,0.26806,0.94675,1,0.13351,0.00087875,0.00087875,0.00087875
8,191.485,0.2272,0.96154,1,0.1206,0.000816875,0.000816875,0.000816875
9,215.118,0.23273,0.95266,1,0.13849,0.000755,0.000755,0.000755
10,238.003,0.21249,0.94675,1,0.12038,0.000693125,0.000693125,0.000693125
11,261.826,0.20417,0.94083,1,0.14305,0.00063125,0.00063125,0.00063125
12,285.422,0.21607,0.95858,1,0.13108,0.000569375,0.000569375,0.000569375
13,308.393,0.19535,0.9497,1,0.13033,0.0005075,0.0005075,0.0005075
14,331.699,0.19578,0.9497,1,0.12997,0.000445625,0.000445625,0.000445625
15,355.559,0.21316,0.96154,1,0.11141,0.00038375,0.00038375,0.00038375
16,378.688,0.1599,0.96746,1,0.10127,0.000321875,0.000321875,0.000321875
17,402,0.14553,0.95562,1,0.11592,0.00026,0.00026,0.00026
18,425.707,0.14475,0.95562,1,0.13074,0.000198125,0.000198125,0.000198125
19,448.748,0.18294,0.95858,1,0.11335,0.00013625,0.00013625,0.00013625
20,472.929,0.14374,0.96154,1,0.10905,7.4375e-05,7.4375e-05,7.4375e-05
